,Species,Intercept,Corrs,MAE,MAE_Base,bFFP_Annual,NFFD_wt_Annual,PAS_wt_Annual,NFFD_sp_Annual,PAS_sp_Annual
1970,Schoenoplectus pungens,183.8513432,0.119995524,29.21544432,30.51080706,0.061658328,-0.046904308,0.201133836,-0.102585708,0.147411426
1971,Schoenoplectus tabernaemontani,205.6054422,0,28.35642556,28.35642556,0,0,1.35E-18,0,0
1972,Scleranthus annuus,165.1033035,0.262926404,30.33252722,36.85591837,0.252355908,0,0.000739816,-0.700660102,0
1973,Scrophularia californica,127.2302176,0.10556322,30.43258614,33.28994807,0.26572104,0,0.025707923,0,0
1974,Scrophularia lanceolata,161.7153098,0.264793205,13.81252746,15.67456977,0.082356582,0,0.039926726,-0.073745888,0.080126691
1975,Scutellaria angustifolia,134.7874898,0.313928319,14.08540963,19.04527381,0.253689076,0,0.026804119,-0.234708608,0.080856579
1976,Scutellaria antirrhinoides,108.0228103,0.275248761,14.28603075,17.16666667,0.363978856,0.578627989,0.087028095,0,0.055772603
1977,Scutellaria galericulata,202.8285714,0,16.57591837,16.57591837,0,0,0,0,0
1978,Scutellaria lateriflora,221.8703704,0,16.228738,16.228738,0,0,-4.52E-18,0,0
1979,Scutellaria mexicana,108.6210436,0.040593044,35.24085588,35.98495442,0.369169644,0,0,0,0
1980,Scutellaria siphocampyloides,134.0686448,0.278723073,16.85374947,19.55314244,0.342004099,0.194142856,-0.038877054,-0.160251936,0.144181096
1981,Scutellaria tuberosa,137.210162,0.280527038,17.0756299,21.25984336,0.390971201,0.725427293,0.11052592,-1.127977389,0
1982,Securigera varia,221.3386615,0.168954445,22.18971688,24.03487605,0,0.419391945,-0.035105278,-0.623996615,0.06423916
1983,Sedum lanceolatum,195.2166624,0.400573632,14.54682697,19.63802802,0,-0.226093908,0.023999764,-0.414701391,0.057989299
1984,Sedum spathulifolium,144.1551729,0.200393848,20.25144102,22.80879587,0.09878805,-0.031732462,0.049864541,-0.039323916,0.082865716
1985,Sedum stenopetalum,214.1956763,0.244129669,14.13051034,16.35096154,-0.132807434,0,0.011908137,-0.540620305,0.084174864
1986,Senecio aronicoides,109.4738969,0.592668374,17.71086397,29.26591315,0.365791482,0,0.038925502,0,0.046456766
1987,Senecio californicus,97.17049119,0.044607559,18.16348352,18.5928848,0.112807952,-0.066252696,0.020235269,-0.020009502,0.000862281
1988,Senecio crassulus,226.6660785,0.244821657,13.71839474,16.76435455,-0.099964941,0,0.004216256,-0.829577267,0.038271953
1989,Senecio flaccidus,334.7918456,0.060458074,62.24894061,65.2220569,-0.191722807,0.704337543,0,-2.107154108,0
1990,Senecio hydrophiloides,197.0909212,0.306746918,12.11042018,15.01509236,-0.076150297,-0.433411053,0.013905369,-0.197530949,0.095702593
1991,Senecio hydrophilus,229.5205051,0.174904282,21.68730209,23.19936,0,1.128641016,-0.008635528,-0.925700415,-0.01667491
1992,Senecio integerrimus,202.5257,0.498947949,14.53527389,21.36906451,-0.116802073,0.445696957,0.021322043,-0.93911071,0.071993922
1993,Senecio mohavensis,251.1362655,0.176582298,16.26131418,17.68281795,0.194247429,-0.015226932,0,-1.962239917,0
1994,Senecio spartioides,236.0903939,0.05387376,19.51183639,20.3777476,0,0,0.016692897,0.198145736,-0.036337167
1995,Senecio triangularis,203.3958582,0.124414375,14.26432762,15.55762191,0,0.244872362,0.014915866,-0.217650359,0.032420269
1996,Senecio vulgaris,141.3940415,0.188152374,40.66143196,47.33613718,0.296052485,0.311656057,0.125665047,-0.908574027,0.395787239
1997,Senegalia greggii,152.642487,0,34.71459637,34.71459637,0,0,0,0,0
1998,Senna armata,129.5165563,0,31.46476032,31.46476032,0,0,0,0,0
1999,Senna covesii,170.8509317,0,65.51406196,65.51406196,1.04E-17,0,0,0,0
2000,Setaria pumila,242.0769231,0,32.61686391,32.61686391,0,0,0,0,0
2001,Setaria viridis,222.1674419,0,25.96672796,25.96672796,0,0,0,0,0
2002,Sherardia arvensis,148.4582772,0.301741216,22.26649424,25.83124527,-0.038908098,0.566126979,0.30430958,-0.636280548,0.393544613
2003,Sida abutifolia,217.6739088,0.020830054,51.66919507,52.40576217,0.130414384,-0.110832982,0.022471906,-0.03422648,0
2004,Sidalcea glaucescens,198.9317696,0.097566944,18.56060272,19.60372422,0,0,0.025205853,0,0.03240499
2005,Sidalcea malviflora,101.2726911,0.502972,23.14492187,31.81543869,0.386476034,0,0.278730155,0,0
2006,Sidalcea neomexicana,205.3730734,0.175628583,26.33582013,28.08521216,0.113644629,-0.681955025,-0.061720937,0,-0.000278693
2007,Sidalcea oregana,190.652954,0.196485865,14.1392283,15.90007859,0,0.334628284,0.026335091,-0.244366176,0.044259677
2008,Silene acaulis,206.4355828,0,16.38917535,16.38917535,0,0,0,0,0
2009,Silene antirrhina,178.4465816,0.507880078,20.86650573,33.67277209,0.156739413,0,0.155798037,-0.935389749,0
2010,Silene douglasii,263.8360479,0.439202453,13.55344292,19.10340086,-0.275654005,0.813092202,0.034025194,-1.227700725,0.014158804
2011,Silene gallica,126.025661,0.13817717,23.82621017,26.05291613,0.185246695,-0.061239146,0.149778346,-0.09376478,0.010726035
2012,Silene laciniata,315.9758102,0.299158488,32.57570485,40.94957419,-0.28380515,-0.951217376,0,-0.931172821,-0.122401793
